"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","Reference","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species","boot.Reference"
"ASV173","ASV173",132.475569811215,24.3588609093252,2.94501918958765,8.27120617598959,1.32610495560318e-16,4.77397784017145e-16,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_ultimum","oomycetedb_93","100","100","100","100","100"," 96"," 77"," 77"
"ASV183","ASV183",8.53728554186157,22.1134331217409,2.94737001943967,7.50276788319401,6.2484143206983e-14,1.32319362085376e-13,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_oligandrum","oomycetedb_769","100","100","100","100","100"," 99"," 77"," 75"
"ASV184","ASV184",116.839590781784,25.7620737628811,2.79670157181495,9.21159197767477,3.21323422807234e-20,2.31352864421209e-19,"Stramenopila","Oomycota","Oomycetes","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","100","100","100"," 24"," 24"," 24"," 24"," 24"
"ASV185","ASV185",25.804426976153,23.656598321265,2.94569057240796,8.0309176200835,9.67463019534211e-16,2.57990138542456e-15,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","Unclassified","100","100","100"," 84"," 84"," 66"," 12"," 12"
"ASV192","ASV192",149.295692816838,7.51730719874524,2.81680318227575,2.66873711519733,0.00761370159582856,0.0107487551941109,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","Unclassified","100","100","100"," 89"," 89"," 81"," 14"," 14"
"ASV196","ASV196",9.97900448446255,22.3370693110401,2.94700672858449,7.57957866006269,3.46678964033689e-14,7.56390466982594e-14,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_ultimum","oomycetedb_93","100","100","100","100","100","100","100"," 99"
"ASV226","ASV226",54.0353848022928,-24.9517488216164,2.7187732871426,-9.17757612950524,4.40903725403216e-20,2.88591529354833e-19,"Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_gregata","oomycetedb_416","100","100","100","100","100","100"," 63"," 63"
"ASV229","ASV229",60.3797488064776,9.49362436046898,2.07629692825227,4.57238279905384,4.82208952067195e-06,7.89069194291774e-06,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_ultimum","oomycetedb_93","100","100","100","100","100","100"," 94"," 92"
"ASV235","ASV235",53.3866507466013,-25.2508804815448,2.94517937559345,-8.57363075770446,1.00272564964453e-17,4.61914132010627e-17,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_abappressorium","Unclassified","100","100","100","100","100","100"," 93"," 42"
"ASV237","ASV237",6.39629396812113,-21.3790776091684,2.94753190124551,-7.25321330708396,4.06998342474995e-13,8.37253733091419e-13,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100"," 91","  2","  2"
"ASV240","ASV240",38.2282567719299,24.2078620121454,2.9454205012458,8.21881357921779,2.05526230358216e-16,6.72631299354161e-16,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_oligandrum","oomycetedb_769","100","100","100","100","100","100"," 79"," 75"
"ASV247","ASV247",31.0265260759626,-24.1661999191362,2.75238661617767,-8.78008916955737,1.63345103577429e-18,8.40060532683922e-18,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100"," 98","  5","  5"
