"ASV","log2FoldChange","deseq_pvalue","deseq_padj","wilcox_pvalue","wilcox_padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV937",-6.76564210859823,4.95961595083393e-08,3.09149394268648e-07,3.72384233201691e-05,0.000528162637153206,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes","Unclassified"
"ASV957",8.14167851991745,2.08150000101587e-14,3.089210318968e-13,1.0217071642797e-05,0.000246762042232163,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Unclassified","Unclassified"
"ASV978",-8.76875755729466,1.17734513397261e-12,1.22313077807155e-11,3.74112021791021e-05,0.000528162637153206,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Unclassified","Unclassified"
"ASV979",-8.77532435054752,1.51917449361314e-16,3.8389950041305e-15,1.01654393312803e-05,0.000246762042232163,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter","Unclassified"
"ASV993",-8.7310233106521,2.90800607103539e-10,2.24709560034553e-09,0.000124779577494758,0.00138763535993127,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Unclassified","Unclassified"
"ASV1014",-8.70756662659126,1.18609789065979e-15,2.2632684240141e-14,1.0217071642797e-05,0.000246762042232163,"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","Unclassified"
"ASV1017",-8.67614919647012,3.60657862982911e-16,8.22475858265907e-15,1.0217071642797e-05,0.000246762042232163,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_daechungensis"
"ASV1022",-8.68550267758673,2.89979144767229e-16,6.95206411172715e-15,1.0217071642797e-05,0.000246762042232163,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Unclassified","Unclassified"
"ASV1023",8.35425524805057,8.64277129969706e-06,3.77616409589568e-05,0.00285558548609658,0.0172845640380103,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Unclassified","Unclassified"
"ASV1035",4.3652040655582,1.98155402011328e-05,8.09062449260227e-05,2.59338596990388e-05,0.000528162637153206,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonospora","Unclassified"
"ASV1040",-7.99369414103399,8.47717863573081e-11,7.14068650847595e-10,3.75846071382431e-05,0.000528162637153206,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","Unclassified"
