"","Treatment","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance","Prevalence"
"129","DADS_treated","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Wickerhamomyces_onychis",0.0151352053761246,9
"130","DADS_treated","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_sake",0.00343263859399371,6
"131","DADS_treated","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis","Gibellulopsis_nigrescens",0.48298270624074,12
"132","DADS_treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Marquandomyces","Marquandomyces_marquandii",0.00839897713626134,8
"133","DADS_treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium_anisopliae",0.00152787609444658,3
"134","DADS_treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_viride",0.0229547847192388,9
"135","DADS_treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_equiseti",0.0854916695184828,9
"136","DADS_treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_graminearum",0.00755144421370587,1
"137","DADS_treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_nirenbergiae",0.0111023468721409,2
"138","DADS_treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_tricinctum",0.741670766958798,12
"139","DADS_treated","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Gamsia","Gamsia_simplex",0.0128649773703226,6
"140","DADS_treated","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Sporothrix","Sporothrix_sclerotialis",0.0748872217999151,12
"141","DADS_treated","Fungi","Ascomycota","Sordariomycetes","Trichosphaeriales","Trichosphaeriaceae","Nigrospora","Nigrospora_oryzae",0.000441835510951209,1
"142","DADS_treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus","Pluteus_liliputianus",0.0100236197421138,8
"143","DADS_treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","Coprinellus_radians",0.000763591936469151,1
"144","DADS_treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","Psathyrella_kellermanii",0.000627155848228285,1
"145","DADS_treated","Fungi","Basidiomycota","Agaricomycetes","Agaricomycetes_ord_Incertae_sedis","Agaricomycetes_fam_Incertae_sedis","Akenomyces","Akenomyces_costatus",0.000724047425106344,1
"146","DADS_treated","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Minimedusa","Minimedusa_polyspora",0.0153615566998166,6
"147","DADS_treated","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Waitea","Waitea_circinata",0.00163047375043736,3
"148","DADS_treated","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Polyporus","Polyporus_austroandinus",0.008940435839534,10
"149","DADS_treated","Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Chionosphaeraceae","Kurtzmanomyces","Kurtzmanomyces_tardus",0.00459980079560426,6
"150","DADS_treated","Fungi","Basidiomycota","Exobasidiomycetes","Tilletiales","Tilletiaceae","Tilletia","Tilletia_puccinelliae",0.000488251449496491,1
