"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV676","ASV676",15.1828036323803,-7.4323697903043,1.7041876575939,-4.36123906729724,1.2932796384121e-05,4.39403443412304e-05,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_viride","100","100","100","100","100","100","62"
"ASV677","ASV677",72.8498692942666,-25.6077418537335,2.38150603896935,-10.7527511728737,5.75199188100179e-27,2.02757713805313e-25,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_gamsii","100","100","100","100","100","77","71"
"ASV678","ASV678",73.3233627090982,-9.70507559252381,1.03839682658421,-9.34621075879872,9.08440640216436e-21,1.50694270906491e-19,"Fungi","Basidiomycota","Ustilaginomycetes","Urocystidales","Urocystidaceae","Urocystis","Urocystis_magica","100","100","100","100","100","100","100"
"ASV694","ASV694",62.284187581768,9.33762613377302,1.03436163856906,9.02742888521146,1.75752461603714e-19,2.25282700782942e-18,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_ledniceana","100","100","100","100","100","99","87"
"ASV702","ASV702",60.7276396393155,9.30117359683468,1.03804035230423,8.96031987213992,3.23737892720906e-19,3.96930807596937e-18,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_crusticola","100","100","100","100","100","100","100"
"ASV718","ASV718",69.4428408748042,-8.0844073457002,1.47863376623973,-5.46748459982719,4.56466852970245e-08,2.34043004613835e-07,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Unclassified","Unclassified","Unclassified","100","100","98","98","56","27","13"
"ASV720","ASV720",63.2654485244348,9.35987280349349,1.05678552111076,8.85692755674359,8.22499475781702e-19,8.92095585270923e-18,"Fungi","Chytridiomycota","Chytridiomycota_cls_Incertae_sedis","Chytridiomycota_ord_Incertae_sedis","Chytridiomycota_fam_Incertae_sedis","Chytridiomycota_gen_Incertae_sedis","Unclassified","100","100","100","100","100","100","100"
"ASV770","ASV770",52.8766904847095,9.10148289158993,1.04726349475789,8.69072868208208,3.60122142077745e-18,3.76127570614534e-17,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Glarea","Glarea_lozoyensis","100","100","100","100","100","96","91"
"ASV784","ASV784",64.6325110454509,-9.52286308300928,1.55156449385891,-6.13758765471932,8.37839922062979e-10,4.92230954212e-09,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Stromatinia","Stromatinia_cepivora","100","100","100","100","99","67","67"
"ASV785","ASV785",54.6815628877324,9.14962538120727,1.02203036144968,8.95240075669494,3.47833553611485e-19,4.08704425493495e-18,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Unclassified","Unclassified","Unclassified","100","100","76","64","39","11","11"
"ASV805","ASV805",56.1415271000503,-1.36644356738095,0.45740115755735,-2.98740732244347,0.00281354585507311,0.00610323023946628,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella","Unclassified","100","100","100","100","99","79","75"
"ASV808","ASV808",18.4875394786996,7.5854375805026,2.27568301318174,3.33325754798206,0.000858354460233453,0.00198406522775274,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","Unclassified","100","100","100","100","100","100","57"
"ASV852","ASV852",51.3765860917354,-9.19185324132696,1.9372636855868,-4.74476103057842,2.08752629088525e-06,8.17614463930056e-06,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Hyaloriaceae","Hyaloriaceae_gen_Incertae_sedis","Unclassified","100","100","100","100","100","98","98"
"ASV873","ASV873",42.3272340449473,8.7804187918989,1.39825149152923,6.27957048148472,3.39509659253945e-10,2.08134182412201e-09,"Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arachnomycetaceae","Arachnomyces","Unclassified","100","100","96","95","95","95","93"
"ASV880","ASV880",43.9641737668458,8.83507613182014,1.08744480399696,8.12462030196512,4.48765025222955e-16,4.08231410041527e-15,"Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales","Pyxidiophoraceae","Pyxidiophoraceae_gen_Incertae_sedis","Unclassified","100","100","100","100","100","99","99"
"ASV887","ASV887",49.52905832776,-5.06769242590665,0.919084707145379,-5.51384696808479,3.51073891456482e-08,1.867978063976e-07,"Fungi","Chytridiomycota","Chytridiomycota_cls_Incertae_sedis","Chytridiomycota_ord_Incertae_sedis","Chytridiomycota_fam_Incertae_sedis","Chytridiomycota_gen_Incertae_sedis","Unclassified","89","88","88","88","88","88","88"
"ASV890","ASV890",44.0977334277019,6.00219356355213,1.21209912189444,4.95189993551934,7.34923943845061e-07,3.0932619726016e-06,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","Murispora","Unclassified","100","100","100","99","98","82","49"
