Sample_nameRps10,Experiment,Sample_or_Control,Incubation,Soil,Treatment
HD4335-S1_S35,basetree_100plots,sample,NA,NA,NA
HD4336-S1_S161,basetree_100plots,sample,NA,NA,NA
HD4342-S1_S42,basetree_100plots,sample,NA,NA,NA
HD4354-S1_S54,basetree_100plots,sample,NA,NA,NA
HD4303-S1_S3,basetree_100plots,sample,NA,NA,NA
HD4304-S1_S4,basetree_100plots,sample,NA,NA,NA
HD4305-S1_S5,basetree_100plots,sample,NA,NA,NA
HD4306-S1_S6,basetree_100plots,sample,NA,NA,NA
HD4307-S1_S7,basetree_100plots,sample,NA,NA,NA
HD4324-S1_S24,basetree_100plots,sample,NA,NA,NA
HD4331-S1_S31,basetree_100plots,sample,NA,NA,NA
HD4332-S1_S32,basetree_100plots,sample,NA,NA,NA
HD4333-S1_S33,basetree_100plots,sample,NA,NA,NA
HD4334-S1_S34,basetree_100plots,sample,NA,NA,NA
HD4361-S1_S61,basetree_100plots,sample,NA,NA,NA
HD4362-S1_S62,basetree_100plots,sample,NA,NA,NA
HD4363-S1_S63,basetree_100plots,sample,NA,NA,NA
HD4364-S1_S64,basetree_100plots,sample,NA,NA,NA
emptyextraction_S201,control,control,NA,NA,NA
NTC_S217,control,control,NA,NA,NA
